X,CH1,CH2,Start,Increment
Sequence,VOLT,VOLT,-2.00E-5,2.00E-7
0,3.20E-1,3.20E-1
1,4.00E-1,4.80E-1
2,3.20E-1,4.80E-1
3,4.00E-1,3.20E-1
4,3.20E-1,4.80E-1
5,4.00E-1,3.20E-1
6,3.20E-1,4.80E-1
7,4.00E-1,3.20E-1
8,3.20E-1,4.80E-1
9,4.00E-1,3.20E-1
10,3.20E-1,3.20E-1
11,4.00E-1,4.80E-1
12,3.20E-1,4.80E-1
13,4.00E-1,3.20E-1
14,3.20E-1,3.20E-1
15,4.00E-1,4.80E-1
16,3.20E-1,4.80E-1
17,4.00E-1,3.20E-1
18,4.00E-1,4.80E-1
19,3.20E-1,3.20E-1
20,3.20E-1,4.80E-1
21,4.00E-1,3.20E-1
22,3.20E-1,3.20E-1
23,4.00E-1,4.80E-1
24,3.20E-1,3.20E-1
25,4.00E-1,4.80E-1
26,3.20E-1,4.80E-1
27,4.00E-1,3.20E-1
28,3.20E-1,3.20E-1
29,4.00E-1,4.80E-1
30,3.20E-1,3.20E-1
31,4.00E-1,4.80E-1
32,3.20E-1,4.80E-1
33,4.00E-1,3.20E-1
34,3.20E-1,3.20E-1
35,4.00E-1,4.80E-1
36,3.20E-1,3.20E-1
37,4.00E-1,4.80E-1
38,3.20E-1,4.80E-1
39,4.00E-1,3.20E-1
40,3.20E-1,4.80E-1
41,4.00E-1,3.20E-1
42,3.20E-1,3.20E-1
43,4.00E-1,4.80E-1
44,3.20E-1,3.20E-1
45,4.00E-1,4.80E-1
46,3.20E-1,3.20E-1
47,4.00E-1,4.80E-1
48,3.20E-1,4.80E-1
49,4.00E-1,3.20E-1
50,3.20E-1,4.80E-1
51,4.00E-1,3.20E-1
52,3.20E-1,3.20E-1
53,4.00E-1,4.80E-1
54,3.20E-1,4.80E-1
55,4.00E-1,3.20E-1
56,3.20E-1,3.20E-1
57,4.00E-1,4.80E-1
58,3.20E-1,3.20E-1
59,4.00E-1,4.80E-1
60,3.20E-1,3.20E-1
61,4.00E-1,4.80E-1
62,3.20E-1,4.80E-1
63,4.00E-1,3.20E-1
64,3.20E-1,3.20E-1
